name,policy,mean_reward,std_reward,train_minutes,learning_rate,gamma,batch_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,model_path,eval_json_path
raissa-exp05-cnn-fast-epsilon-decay,CnnPolicy,-0.3333333432674408,0.9428090453147888,32.54167264302571,0.0001,0.99,64,1.0,0.01,0.05,results/raissa/models/raissa-exp05-cnn-fast-epsilon-decay.zip,/content/results/raissa/raissa-exp05-cnn-fast-epsilon-decay/raissa-exp05-cnn-fast-epsilon-decay_eval.json
raissa-exp01-cnn-baseline,CnnPolicy,-1.0,0.0,22.95205524365107,0.0001,0.99,32,1.0,0.01,0.1,results/raissa/models/raissa-exp01-cnn-baseline.zip,/content/results/raissa/raissa-exp01-cnn-baseline/raissa-exp01-cnn-baseline_eval.json
raissa-exp02-cnn-low-lr,CnnPolicy,-1.0,0.0,23.74894088904063,5e-05,0.99,32,1.0,0.01,0.1,results/raissa/models/raissa-exp02-cnn-low-lr.zip,/content/results/raissa/raissa-exp02-cnn-low-lr/raissa-exp02-cnn-low-lr_eval.json
raissa-exp03-cnn-gamma-097,CnnPolicy,-1.0,0.0,21.25669093132019,0.0001,0.97,32,1.0,0.01,0.1,results/raissa/models/raissa-exp03-cnn-gamma-097.zip,/content/results/raissa/raissa-exp03-cnn-gamma-097/raissa-exp03-cnn-gamma-097_eval.json
raissa-exp04-cnn-batch-64,CnnPolicy,-1.0,0.0,32.52716451883316,0.0001,0.99,64,1.0,0.01,0.1,results/raissa/models/raissa-exp04-cnn-batch-64.zip,/content/results/raissa/raissa-exp04-cnn-batch-64/raissa-exp04-cnn-batch-64_eval.json
raissa-exp08-mlp-gamma-097-fast-eps,MlpPolicy,-7.666666507720947,8.013876914978027,2.998288881778717,0.0001,0.97,64,1.0,0.01,0.05,results/raissa/models/raissa-exp08-mlp-gamma-097-fast-eps.zip,/content/results/raissa/raissa-exp08-mlp-gamma-097-fast-eps/raissa-exp08-mlp-gamma-097-fast-eps_eval.json
raissa-exp10-mlp-gamma-0999-slow-eps,MlpPolicy,-9.0,0.0,3.320445911089579,0.0001,0.999,64,1.0,0.05,0.3,results/raissa/models/raissa-exp10-mlp-gamma-0999-slow-eps.zip,/content/results/raissa/raissa-exp10-mlp-gamma-0999-slow-eps/raissa-exp10-mlp-gamma-0999-slow-eps_eval.json
raissa-exp06-mlp-paired-baseline,MlpPolicy,-9.333333015441895,0.9428090453147888,4.368831125895182,0.0001,0.99,32,1.0,0.01,0.1,results/raissa/models/raissa-exp06-mlp-paired-baseline.zip,/content/results/raissa/raissa-exp06-mlp-paired-baseline/raissa-exp06-mlp-paired-baseline_eval.json
raissa-exp07-mlp-paired-low-lr,MlpPolicy,-9.666666984558105,0.9428090453147888,4.833291312058766,5e-05,0.99,32,1.0,0.01,0.1,results/raissa/models/raissa-exp07-mlp-paired-low-lr.zip,/content/results/raissa/raissa-exp07-mlp-paired-low-lr/raissa-exp07-mlp-paired-low-lr_eval.json
raissa-exp09-mlp-gamma-0995-mid-eps,MlpPolicy,-24.0,0.0,2.958738128344218,0.0001,0.995,64,1.0,0.02,0.15,results/raissa/models/raissa-exp09-mlp-gamma-0995-mid-eps.zip,/content/results/raissa/raissa-exp09-mlp-gamma-0995-mid-eps/raissa-exp09-mlp-gamma-0995-mid-eps_eval.json
